15	0.8665
15.5	0.8665
16	0.8668
16.5	0.8668
17	0.867
17.5	0.8672
18	0.8672
18.5	0.8673
19	0.8675
19.5	0.8675
20	0.8676
20.5	0.8677
21	0.8676
21.5	0.8679
22	0.8679
22.5	0.8681
23	0.8683
23.5	0.8683
24	0.8682
24.5	0.8684
25	0.8684
25.5	0.8685
26	0.8686
26.5	0.8686
27	0.8689
27.5	0.8688
28	0.869
28.5	0.8689
29	0.8689
29.5	0.8691
30	0.8692
30.5	0.8692
31	0.8692
31.5	0.8694
32	0.8694
32.5	0.8694
33	0.8695
33.5	0.8697
34	0.8697
34.5	0.8698
35	0.8701
35.5	0.8702
36	0.8703
36.5	0.8704
37	0.8704
37.5	0.8706
38	0.8707
38.5	0.8709
39	0.8711
39.5	0.8714
40	0.8714
40.5	0.8718
41	0.8719
41.5	0.872
42	0.8724
42.5	0.8724
43	0.8727
43.5	0.8727
44	0.873
44.5	0.873
45	0.8733
45.5	0.873
46	0.8733
46.5	0.8732
47	0.8735
47.5	0.8736
48	0.8736
48.5	0.8738
49	0.874
49.5	0.8738
50	0.874
50.5	0.8741
51	0.874
51.5	0.8742
52	0.8744
52.5	0.8744
53	0.8743
53.5	0.8747
54	0.8748
54.5	0.8751
55	0.875
55.5	0.875
56	0.8752
56.5	0.8754
57	0.8755
57.5	0.8758
58	0.876
58.5	0.8761
59	0.8764
59.5	0.8767
60	0.8769
60.5	0.877
61	0.8775
61.5	0.8777
62	0.8779
62.5	0.8785
63	0.8791
63.5	0.8794
64	0.88
64.5	0.8802
65	0.8806
65.5	0.8813
66	0.8823
66.5	0.883
67	0.8834
67.5	0.8847
68	0.8857
68.5	0.8869
69	0.8879
69.5	0.8894
70	0.891
70.5	0.8925
71	0.8946
71.5	0.8967
72	0.8987
72.5	0.9008
73	0.9045
73.5	0.9068
74	0.9105
74.5	0.9135
75	0.9176
75.5	0.9212
76	0.9264
76.5	0.9312
77	0.9357
77.5	0.9411
78	0.9455
78.5	0.9504
79	0.9554
79.5	0.9605
80	0.9651
80.5	0.9698
81	0.974
81.5	0.9778
82	0.9813
82.5	0.9845
83	0.9876
83.5	0.9897
84	0.992
84.5	0.994
85	0.9957
85.5	0.9978
86	0.9994
86.5	1.0011
87	1.002
87.5	1.003
88	1.0043
88.5	1.0049
89	1.0056
89.5	1.0063
90	1.0071
90.5	1.0076
91	1.0083
91.5	1.0093
92	1.0096
92.5	1.0102
93	1.0108
93.5	1.0115
94	1.012
94.5	1.012
95	1.0127
95.5	1.0128
96	1.0138
96.5	1.0145
97	1.0145
97.5	1.0148
98	1.0148
