filename,mss,bss,mds,bds,mds2,bds2,delHconf,delSconf,pB_constrain,T_constrain,delHm,delSm,delGconf_25C,delGconf_37C,delGm_25C,delGm_37C,Ct,redchi2,aic,bic,mode
wt2_mg.txt,0.0008274652871750491,0.9388781015363401,0.0008258199185877934,0.8728764267212461,0.004226277005578888,0.5177650723721879,8.316969567547794,0.022754322962025154,0.07,25.0,-90.36993303295124,-0.2584748769747993,1.532540633190373,1.2594887576460714,-13.303063714145068,-10.201365190447476,3e-06,1.251269040138033,-2408.253527198151,-2381.3994832567882,hairpin
wt4_mg.txt,0.0006303369926901637,0.9533185709316127,0.0006023228573043864,0.8684361474080025,0.003117714965431502,0.5916100710596414,7.380475036136053,0.01961341025940998,0.07,25.0,-81.23839377887825,-0.23217245162685007,1.5325406331903721,1.2971797100774527,-12.01385560181663,-9.227786182294423,3e-06,0.488867890409776,-2597.8217311542894,-2570.9062836578255,hairpin
wt3_mg.txt,0.00045739420921405045,0.9961100239149142,0.0007127785534591821,0.8792126543669755,0.34837691260581183,-9.391304407573397,-116.35289426935762,-0.3953764250823316,0.07,25.0,-79.43189540338142,-0.22601598544577114,1.5325406331903793,6.277057734178371,-12.042969182870294,-9.330777357521029,3e-06,0.022685687329239552,-2237.7012172839522,-2212.915894740899,hairpin
avg,0.0006383988296930878,0.962768898794289,0.0007136404431171206,0.8735084094987413,0.11857363485894074,-2.760643088047189,-33.55181655522459,-0.11766956395363215,0.07,25.0,-83.68007407173697,-0.2388877713491402,1.5325406331903748,2.944575400633965,-12.453296166277331,-9.586642910087642,3e-06,0.5876075392923495,-2414.5921585454644,-2388.4072205518373,hairpin
std,0.00015118839372936927,0.024301642706078402,9.124432855769389e-05,0.004422128238189277,0.16249608626026124,4.688682503053038,58.55045179710836,0.196372591216489,0.0,0.0,4.787589427249885,0.014076376168430521,3.161050162967915e-15,2.3564710945978766,0.6009939346378923,0.4367031081652112,0.0,0.5064032664427396,147.0868899960763,146.23294413530846,0
