15	0.8471
15.5	0.8477
16	0.8474
16.5	0.8472
17	0.8474
17.5	0.8461
18	0.8482
18.5	0.8485
19	0.8463
19.5	0.8468
20	0.8475
20.5	0.8478
21	0.8485
21.5	0.8483
22	0.8482
22.5	0.8474
23	0.8475
23.5	0.8482
24	0.8482
24.5	0.8486
25	0.8481
25.5	0.848
26	0.8479
26.5	0.8486
27	0.8488
27.5	0.8485
28	0.8499
28.5	0.8494
29	0.8492
29.5	0.8501
30	0.8519
30.5	0.8506
31	0.8499
31.5	0.8502
32	0.8509
32.5	0.8509
33	0.8509
33.5	0.8519
34	0.8506
34.5	0.8525
35	0.8529
35.5	0.8529
36	0.8539
36.5	0.8542
37	0.8531
37.5	0.8537
38	0.8546
38.5	0.8556
39	0.856
39.5	0.856
40	0.856
40.5	0.8566
41	0.8564
41.5	0.8581
42	0.8582
42.5	0.8606
43	0.8591
43.5	0.859
44	0.8611
44.5	0.8624
45	0.8617
45.5	0.862
46	0.8625
46.5	0.8625
47	0.8623
47.5	0.8632
48	0.8637
48.5	0.8641
49	0.8646
49.5	0.8655
50	0.8658
50.5	0.8657
51	0.8671
51.5	0.8673
52	0.8669
52.5	0.8685
53	0.868
53.5	0.8689
54	0.87
54.5	0.8704
55	0.8722
55.5	0.8741
56	0.875
56.5	0.8749
57	0.877
57.5	0.8791
58	0.8805
58.5	0.8821
59	0.8832
59.5	0.8846
60	0.8883
60.5	0.89
61	0.8926
61.5	0.8987
62	0.9005
62.5	0.9034
63	0.906
63.5	0.9115
64	0.9159
64.5	0.9199
65	0.9259
65.5	0.9295
66	0.9346
66.5	0.9397
67	0.9437
67.5	0.947
68	0.9519
68.5	0.9564
69	0.9604
69.5	0.9639
70	0.9659
70.5	0.9692
71	0.9727
71.5	0.9741
72	0.976
72.5	0.9783
73	0.9801
73.5	0.982
74	0.9832
74.5	0.9846
75	0.987
75.5	0.9866
76	0.9881
76.5	0.9879
77	0.9905
77.5	0.9906
78	0.9919
78.5	0.9913
79	0.9921
79.5	0.9952
80	0.9946
80.5	0.9957
81	0.9952
81.5	0.9961
82	0.9972
82.5	0.9981
83	0.9976
83.5	0.998
84	0.9979
84.5	0.9995
85	1.0013
85.5	1.0012
86	1.0031
86.5	1.0028
87	1.0032
87.5	1.0031
88	1.0048
88.5	1.0057
89	1.0061
89.5	1.0061
90	1.0056
90.5	1.0056
91	1.0083
91.5	1.0076
92	1.0056
92.5	1.006
93	1.0079
93.5	1.0076
94	1.0088
94.5	1.007
95	1.008
