15	0.8519
15.5	0.8519
16	0.8515
16.5	0.8518
17	0.852
17.5	0.8524
18	0.8518
18.5	0.8527
19	0.8519
19.5	0.8525
20	0.8519
20.5	0.8525
21	0.8528
21.5	0.8529
22	0.8533
22.5	0.8529
23	0.8535
23.5	0.8537
24	0.8541
24.5	0.8537
25	0.8542
25.5	0.8534
26	0.854
26.5	0.8541
27	0.8547
27.5	0.8544
28	0.855
28.5	0.855
29	0.8547
29.5	0.8553
30	0.8555
30.5	0.8557
31	0.8556
31.5	0.8558
32	0.8553
32.5	0.8564
33	0.8567
33.5	0.8566
34	0.8564
34.5	0.8568
35	0.8569
35.5	0.8572
36	0.8579
36.5	0.8572
37	0.8576
37.5	0.8576
38	0.8579
38.5	0.8585
39	0.8583
39.5	0.8587
40	0.8587
40.5	0.8585
41	0.859
41.5	0.8586
42	0.8588
42.5	0.8592
43	0.8594
43.5	0.8605
44	0.8607
44.5	0.8602
45	0.861
45.5	0.8605
46	0.8611
46.5	0.8616
47	0.8617
47.5	0.8616
48	0.862
48.5	0.8628
49	0.8631
49.5	0.8637
50	0.8643
50.5	0.8646
51	0.8643
51.5	0.8652
52	0.8664
52.5	0.866
53	0.8658
53.5	0.8677
54	0.8684
54.5	0.8707
55	0.8707
55.5	0.8722
56	0.8737
56.5	0.8748
57	0.8761
57.5	0.8773
58	0.8792
58.5	0.8803
59	0.883
59.5	0.8853
60	0.8871
60.5	0.8906
61	0.894
61.5	0.8972
62	0.9014
62.5	0.9037
63	0.908
63.5	0.9113
64	0.9155
64.5	0.9198
65	0.9245
65.5	0.929
66	0.9325
66.5	0.9377
67	0.9413
67.5	0.9454
68	0.9484
68.5	0.9523
69	0.9549
69.5	0.9579
70	0.9605
70.5	0.9648
71	0.9665
71.5	0.968
72	0.9707
72.5	0.9727
73	0.9738
73.5	0.9758
74	0.9755
74.5	0.9771
75	0.9806
75.5	0.9822
76	0.9824
76.5	0.9827
77	0.9829
77.5	0.9837
78	0.9844
78.5	0.9852
79	0.9858
79.5	0.9862
80	0.9861
80.5	0.9869
81	0.9877
81.5	0.9882
82	0.9883
82.5	0.9885
83	0.9904
83.5	0.9896
84	0.9909
84.5	0.9918
85	0.9926
85.5	0.9937
86	0.9941
